"sample","cohort.x","ferretID.x","DPI.x","inf_route.x","diet.x","sample.y","cohort.y","ferretID.y","DPI.y","inf_route.y","diet.y","dist"
"F17_HK1073","F17","HK1073","Stock","Control","Control","1801_d02","F17","1801","d02","Index","Lean",2.03286436486928
"F17_HK1073","F17","HK1073","Stock","Control","Control","1800_d02","F17","1800","d02","Index","Lean",1.83206432025993
"F17_HK1073","F17","HK1073","Stock","Control","Control","1789_d02","F17","1789","d02","Index","Obese",1.95022662834981
"F17_HK1073","F17","HK1073","Stock","Control","Control","1789_d04","F17","1789","d04","Index","Obese",2.8356809405927
"F17_HK1073","F17","HK1073","Stock","Control","Control","1801_d04","F17","1801","d04","Index","Lean",2.64698408730913
"F17_HK1073","F17","HK1073","Stock","Control","Control","1800_d04","F17","1800","d04","Index","Lean",2.94154306295065
"F17_HK1073","F17","HK1073","Stock","Control","Control","1800_d06","F17","1800","d06","Index","Lean",3.13908177039145
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1984_d04","Sm18","1984","d04","Index","Obese",2.85849215340735
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1984_d02","Sm18","1984","d02","Index","Obese",1.73971720873865
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1975_d04","Sm18","1975","d04","Index","Lean",2.24474607859293
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1970_d02","Sm18","1970","d02","Index","Lean",1.57986715933382
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1912_d06","Sm18","1912","d06","Index","Obese",2.45838085188164
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1977_d02","Sm18","1977","d02","Index","Lean",1.43908124757996
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1973_d06","Sm18","1973","d06","Index","Lean",3.40541209006632
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1977_d06","Sm18","1977","d06","Index","Lean",3.690669699021
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1968_d02","Sm18","1968","d02","Index","Obese",2.20346235928631
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1973_d02","Sm18","1973","d02","Index","Lean",2.1214586523099
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1912_d04","Sm18","1912","d04","Index","Obese",2.37628012501809
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1974_d02","Sm18","1974","d02","Index","Lean",2.10742499259205
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1912_d02","Sm18","1912","d02","Index","Obese",1.67249800380283
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1910_d02","Sm18","1910","d02","Index","Obese",2.58983772200662
"Sm18_HK1073","Sm18","HK1073","Stock","Control","Control","1975_d06","Sm18","1975","d06","Index","Lean",2.68222210536397
"Sp19_HK1073","Sp19","HK1073","Stock","Control","Control","2240_d04","Sp19","2240","d04","Index","Obese",2.89736567421284
"Sp19_HK1073","Sp19","HK1073","Stock","Control","Control","2251_d06","Sp19","2251","d06","Index","Lean",2.8856293081911
"Sp19_HK1073","Sp19","HK1073","Stock","Control","Control","2253_d04","Sp19","2253","d04","Index","Lean",2.77483840485028
"Sp19_HK1073","Sp19","HK1073","Stock","Control","Control","2251_d04","Sp19","2251","d04","Index","Lean",3.34158862119205
"Sp19_HK1073","Sp19","HK1073","Stock","Control","Control","2254_d06","Sp19","2254","d06","Index","Lean",3.87143748624383
"Sp19_HK1073","Sp19","HK1073","Stock","Control","Control","2254_d04","Sp19","2254","d04","Index","Lean",2.88604577705352
"Sp19_HK1073","Sp19","HK1073","Stock","Control","Control","2233_d04","Sp19","2233","d04","Index","Obese",3.80060715501415
"W17_HK1073","W17","HK1073","Stock","Control","Control","1414_d06","W17","1414","d06","Index","Obese",9.3936977683042
"W17_HK1073","W17","HK1073","Stock","Control","Control","1414_d04","W17","1414","d04","Index","Obese",4.37709462312662
"W17_HK1073","W17","HK1073","Stock","Control","Control","1416_d02","W17","1416","d02","Index","Lean",3.46818923587612
"W17_HK1073","W17","HK1073","Stock","Control","Control","1408_d04","W17","1408","d04","Index","Obese",3.8487844753009
"W17_HK1073","W17","HK1073","Stock","Control","Control","1416_d04","W17","1416","d04","Index","Lean",3.8106093106927
"W17_HK1073","W17","HK1073","Stock","Control","Control","1408_d02","W17","1408","d02","Index","Obese",2.53429618846294
